nation,series,race_stats_url,race_name,race_date,race_list_index
BEL,CM,http://www.cxstats.com/uci-world-championships-zolder-resultats/,UCI WORLD CHAMPIONSHIPS - ZOLDER,16/1/31,1
NED,CDM,http://www.cxstats.com/uci-world-cup-7-hoogerheide-resultats/,UCI WORLD CUP #7 - HOOGERHEIDE,16/1/24,2
FRA,C2,http://www.cxstats.com/cyclo-cross-du-mingant-lanarvily-resultats/,CYCLO-CROSS DU MINGANT - LANARVILY,16/1/24,3
NED,C2,http://www.cxstats.com/internationale-cyclo-cross-rucphen-2016-resultats/,INTERNATIONALE CYCLO-CROSS RUCPHEN,16/1/23,4
FRA,CDM,http://www.cxstats.com/uci-world-cup-6-lignieres-resultats/,UCI WORLD CUP #6 - LIGNIÈRES,16/1/17,5
LUX,C2,http://www.cxstats.com/grand-prix-mobel-alvisse-leudelange-2016-resultats/,GRAND PRIX MÖBEL ALVISSE - LEUDELANGE,16/1/17,6
BEL,C2,http://www.cxstats.com/kasteelcross-zonnebeke-2016-resultats/,KASTEELCROSS - ZONNEBEKE,16/1/16,7
BEL,C2,http://www.cxstats.com/cyclocross-otegem-2016-resultats/,CYCLOCROSS OTEGEM,16/1/11,8
BEL,CN,http://www.cxstats.com/championnats-de-belgique-2016-resultats/,CHAMPIONNATS DE BELGIQUE,16/1/10,9
NED,CN,http://www.cxstats.com/championnats-des-pays-bas-2016-resultats/,CHAMPIONNATS DES PAYS-BAS,16/1/10,10
FRA,CN,http://www.cxstats.com/championnats-de-france-besancon-resultats/,CHAMPIONNATS DE FRANCE,16/1/10,11
GER,CN,http://www.cxstats.com/championnats-allemagne-2016-resultats/,CHAMPIONNATS D'ALLEMAGNE,16/1/10,12
ESP,CN,http://www.cxstats.com/championnats-espagne-2016-resultats/,CHAMPIONNATS D'ESPAGNE,16/1/10,13
USA,CN,http://www.cxstats.com/championnats-des-etats-unis-2016-resultats/,CHAMPIONNATS DES ÉTATS-UNIS,16/1/10,14
SUI,CN,http://www.cxstats.com/championnats-de-suisse-2016-resultats/,CHAMPIONNATS DE SUISSE,16/1/10,15
ITA,CN,http://www.cxstats.com/championnats-italie-2016-resultats/,CHAMPIONNATS D'ITALIE,16/1/10,16
GBR,CN,http://www.cxstats.com/championnats-de-grande-bretagne-2016-resultats/,CHAMPIONNATS DE GRANDE-BRETAGNE,16/1/10,17
DEN,CN,http://www.cxstats.com/championnats-du-danemark-2016-resultats/,CHAMPIONNATS DU DANEMARK,16/1/10,18
POR,CN,http://www.cxstats.com/championnats-du-portugal-2016-resultats/,CHAMPIONNATS DU PORTUGAL,16/1/10,19
LUX,CN,http://www.cxstats.com/championnats-du-luxembourg-2016-resultats/,CHAMPIONNATS DU LUXEMBOURG,16/1/10,20
IRL,CN,http://www.cxstats.com/championnats-irlande-2016-resultats/,CHAMPIONNATS D'IRLANDE,16/1/10,21
POL,CN,http://www.cxstats.com/championnats-de-pologne-2016-resultats/,CHAMPIONNATS DE POLOGNE,16/1/10,22
CZE,CN,http://www.cxstats.com/championnats-de-republique-tcheque-2016-resultats/,CHAMPIONNATS DE RÉPUBLIQUE TCHÈQUE,16/1/09,23
ITA,C2,http://www.cxstats.com/giro-italia-ciclocross-5-rome-2016-resultats/,GIRO ITALIA CICLOCROSS #5 - ROME,16/1/06,24
GER,C2,http://www.cxstats.com/challenge-cyclo-cross-race-albstadt-resultats/,CHALLENGE CYCLO-CROSS RACE - ALBSTADT,16/1/06,25
BEL,C1,http://www.cxstats.com/soudal-cyclocross-leuven-2016-resultats/,SOUDAL CYCLOCROSS LEUVEN,16/1/03,26
SUI,C1,http://www.cxstats.com/ekz-cross-tour-5-meilen-resultats/,EKZ CROSS TOUR #5 - MEILEN,16/1/02,27
NED,C2,http://www.cxstats.com/internationale-centrumcross-surhuisterveen-2015-resultats/,INT. CENTRUMCROSS SURHUISTERVEEN,16/1/02,28
USA,C2,http://www.cxstats.com/kingsport-cyclo-cross-cup-2016-resultats/,KINGSPORT CYCLO-CROSS CUP,16/1/02,29
