place,racer_url,racer_name,nation,age,goaltime,url
1,http://www.cxstats.com/coureur/wout-van-aert/,VAN AERT Wout,BEL,21,1:05:52,http://www.cxstats.com/uci-world-championships-zolder-resultats/
2,http://www.cxstats.com/coureur/lars-van-der-haar/,VAN DER HAAR Lars,NED,24,1:05:57,http://www.cxstats.com/uci-world-championships-zolder-resultats/
3,http://www.cxstats.com/coureur/kevin-pauwels/,PAUWELS Kevin,BEL,31,1:06:27,http://www.cxstats.com/uci-world-championships-zolder-resultats/
4,http://www.cxstats.com/coureur/sven-nys/,NYS Sven,BEL,39,1:06:31,http://www.cxstats.com/uci-world-championships-zolder-resultats/
5,http://www.cxstats.com/coureur/mathieu-van-der-poel/,VAN DER POEL Mathieu,NED,20,1:06:39,http://www.cxstats.com/uci-world-championships-zolder-resultats/
6,http://www.cxstats.com/coureur/david-van-der-poel/,VAN DER POEL David,NED,23,1:06:55,http://www.cxstats.com/uci-world-championships-zolder-resultats/
7,http://www.cxstats.com/coureur/laurens-sweeck/,SWEECK Laurens,BEL,22,1:07:03,http://www.cxstats.com/uci-world-championships-zolder-resultats/
8,http://www.cxstats.com/coureur/tom-meeusen/,MEEUSEN Tom,BEL,27,1:07:15,http://www.cxstats.com/uci-world-championships-zolder-resultats/
9,http://www.cxstats.com/coureur/radomir-simunek/,SIMUNEK Radomir,CZE,32,1:07:29,http://www.cxstats.com/uci-world-championships-zolder-resultats/
10,http://www.cxstats.com/coureur/marcel-meisen/,MEISEN Marcel,GER,26,1:07:35,http://www.cxstats.com/uci-world-championships-zolder-resultats/
11,http://www.cxstats.com/coureur/clement-venturini/,VENTURINI Clément,FRA,22,1:07:53,http://www.cxstats.com/uci-world-championships-zolder-resultats/
12,http://www.cxstats.com/coureur/michael-vanthourenhout/,VANTHOURENHOUT Michael,BEL,22,1:08:07,http://www.cxstats.com/uci-world-championships-zolder-resultats/
13,http://www.cxstats.com/coureur/stan-godrie/,GODRIE Stan,NED,22,1:08:20,http://www.cxstats.com/uci-world-championships-zolder-resultats/
14,http://www.cxstats.com/coureur/lars-boom/,BOOM Lars,NED,30,1:08:29,http://www.cxstats.com/uci-world-championships-zolder-resultats/
15,http://www.cxstats.com/coureur/francis-mourey/,MOUREY Francis,FRA,35,1:08:35,http://www.cxstats.com/uci-world-championships-zolder-resultats/
16,http://www.cxstats.com/coureur/michael-boros/,BOROS Michael,CZE,23,1:08:38,http://www.cxstats.com/uci-world-championships-zolder-resultats/
17,http://www.cxstats.com/coureur/thijs-van-amerongen/,VAN AMERONGEN Thijs,NED,29,1:08:38,http://www.cxstats.com/uci-world-championships-zolder-resultats/
18,http://www.cxstats.com/coureur/corne-van-kessel/,VAN KESSEL Corne,NED,24,1:08:42,http://www.cxstats.com/uci-world-championships-zolder-resultats/
19,http://www.cxstats.com/coureur/philipp-walsleben/,WALSLEBEN Philipp,GER,28,1:08:52,http://www.cxstats.com/uci-world-championships-zolder-resultats/
20,http://www.cxstats.com/coureur/steve-chainel/,CHAINEL Steve,FRA,32,1:09:00,http://www.cxstats.com/uci-world-championships-zolder-resultats/
21,http://www.cxstats.com/coureur/sascha-weber/,WEBER Sascha,GER,27,1:09:07,http://www.cxstats.com/uci-world-championships-zolder-resultats/
22,http://www.cxstats.com/coureur/julien-taramarcaz/,TARAMARCAZ Julien,SUI,28,1:09:13,http://www.cxstats.com/uci-world-championships-zolder-resultats/
23,http://www.cxstats.com/coureur/stephen-hyde/,HYDE Stephen,USA,28,1:09:23,http://www.cxstats.com/uci-world-championships-zolder-resultats/
24,http://www.cxstats.com/coureur/simon-zahner/,ZAHNER Simon,SUI,32,1:09:23,http://www.cxstats.com/uci-world-championships-zolder-resultats/
25,http://www.cxstats.com/coureur/niels-wubben/,WUBBEN Niels,NED,27,1:09:32,http://www.cxstats.com/uci-world-championships-zolder-resultats/
26,http://www.cxstats.com/coureur/tim-merlier/,MERLIER Tim,BEL,23,1:09:35,http://www.cxstats.com/uci-world-championships-zolder-resultats/
27,http://www.cxstats.com/coureur/javier-ruiz-de-larrinaga/,RUIZ DE LARRINAGA Javier,ESP,36,1:09:48,http://www.cxstats.com/uci-world-championships-zolder-resultats/
28,http://www.cxstats.com/coureur/ian-field/,FIELD Ian,GBR,29,1:09:56,http://www.cxstats.com/uci-world-championships-zolder-resultats/
29,http://www.cxstats.com/coureur/martin-haring/,HARING Martin,SVK,29,1:10:18,http://www.cxstats.com/uci-world-championships-zolder-resultats/
30,http://www.cxstats.com/coureur/lukas-winterberg/,WINTERBERG Lukas,SUI,27,1:10:21,http://www.cxstats.com/uci-world-championships-zolder-resultats/
31,http://www.cxstats.com/coureur/lars-forster/,FORSTER Lars,SUI,22,1:10:38,http://www.cxstats.com/uci-world-championships-zolder-resultats/
32,http://www.cxstats.com/coureur/ismael-esteban/,ESTEBAN Ismael,ESP,32,1:11:02,http://www.cxstats.com/uci-world-championships-zolder-resultats/
33,http://www.cxstats.com/coureur/severin-sagesser/,SAGESSER Severin,SUI,23,1:11:20,http://www.cxstats.com/uci-world-championships-zolder-resultats/
42,http://www.cxstats.com/coureur/jeremy-martin/,MARTIN Jeremy,CAN,23,,http://www.cxstats.com/uci-world-championships-zolder-resultats/
34,http://www.cxstats.com/coureur/jeremy-powers/,POWERS Jeremy,USA,32,1:11:21,http://www.cxstats.com/uci-world-championships-zolder-resultats/
43,http://www.cxstats.com/coureur/anthony-clark/,CLARK Anthony,USA,28,,http://www.cxstats.com/uci-world-championships-zolder-resultats/
35,http://www.cxstats.com/coureur/yannick-eckmann/,ECKMANN Yannick,USA,22,1:12:37,http://www.cxstats.com/uci-world-championships-zolder-resultats/
